Band,Date,Venue
Frankie Cosmos,9/28/2018,Revolution Oktoberfest 2018
Whitney,9/28/2018,Revolution Oktoberfest 2018
Umphrey's Mcgee,10/6/2018,Aragon Ballroom
Phish,10/26/2018,Allstate Arena
Phish,10/27/2018,Allstate Arena
Tenacious D,11/14/2018,Riviera Theater
Gia Margaret,1/13/2019,Beat Kitchen
Spencer Radcliffe,1/13/2019,Beat Kitchen
Yowler,1/13/2019,Beat Kitchen
Gabby's World,1/13/2019,Beat Kitchen
S. Carey,1/20/2019,Schubas
Alison Wonderland,2/2/2019,Navy Pier
Dillon Francis,2/2/2019,Navy Pier
Green Velvet,2/22/2019,Prysm
Miya Folick,2/23/2019,Schubas
Barrie,2/23/2019,Schubas
Andrew Bird,4/2/2019,The Green Mill
Tim Mislock,4/6/2019,Thalia Hall
The Antlers,4/6/2019,Thalia Hall
Tennyson,4/10/2019,Schubas
Russian Circles,5/31/2019,Do Division Street Festival
Sean Green,6/8/2019,Cole's
Grand Ole Opry,6/13/2019,Bonnaroo 2019 D1
Mk.gee,6/13/2019,Bonnaroo 2019 D1
Rolling Blackouts Coastal Fever,6/13/2019,Bonnaroo 2019 D1
Eprom,6/13/2019,Bonnaroo 2019 D1
The Comet is Coming,6/13/2019,Bonnaroo 2019 D1
Cherry Glazerr,6/14/2019,Bonnaroo 2019 D2
Parquet Courts,6/14/2019,Bonnaroo 2019 D2
Gojira,6/14/2019,Bonnaroo 2019 D2
Childish Gambino,6/14/2019,Bonnaroo 2019 D2
Phish,6/14/2019,Bonnaroo 2019 D2
Girl Talk,6/14/2019,Bonnaroo 2019 D2
Unknown Mortal  Orchestra,6/15/2019,Bonnaroo 2019 D3
Juice WRLD,6/15/2019,Bonnaroo 2019 D3
Kacey Musgraves,6/15/2019,Bonnaroo 2019 D3
Odesza,6/15/2019,Bonnaroo 2019 D3
Post Malone,6/15/2019,Bonnaroo 2019 D3
CID,6/16/2019,Bonnaroo 2019 D4
The Wood Brothers,6/16/2019,Bonnaroo 2019 D4
Phish,6/16/2019,Bonnaroo 2019 D4
Derrick Carter,7/6/2019,Theater on the Lake
DJ Boring,7/6/2019,Theater on the Lake
Quantic,7/6/2019,Theater on the Lake
Juan Maclean,7/6/2019,Theater on the Lake
Sunflower Bean,7/10/2019,Taste of Chicago 2019
Courtney Barnett,7/10/2019,Taste of Chicago 2019
Sky Ferreira,7/19/2019,Pitchfork Music Festival 2019 D1
Pusha-T,7/19/2019,Pitchfork Music Festival 2019 D1
Haim,7/19/2019,Pitchfork Music Festival 2019 D1
Jay Som,7/20/2019,Pitchfork Music Festival 2019 D2
Stereolab,7/20/2019,Pitchfork Music Festival 2019 D2
Belle & Sebastian,7/20/2019,Pitchfork Music Festival 2019 D2
The Isley Brothers,7/20/2019,Pitchfork Music Festival 2019 D2
Black Midi,7/21/2019,Pitchfork Music Festival 2019 D3
JPEGMAFIA,7/21/2019,Pitchfork Music Festival 2019 D3
Clairo,7/21/2019,Pitchfork Music Festival 2019 D3
Khruangbin,7/21/2019,Pitchfork Music Festival 2019 D3
Charli XCX,7/21/2019,Pitchfork Music Festival 2019 D3
Robyn,7/21/2019,Pitchfork Music Festival 2019 D3
Beach Bunny,8/1/2019,Lollapalooza 2019 D1
Ama Lou,8/1/2019,Lollapalooza 2019 D1
Ghostemane,8/1/2019,Lollapalooza 2019 D1
Fitz and the Tantrums,8/1/2019,Lollapalooza 2019 D1
Fisher,8/1/2019,Lollapalooza 2019 D1
Rufus Du Sol,8/1/2019,Lollapalooza 2019 D1
King Princess,8/1/2019,Lollapalooza 2019 D1
The Strokes,8/1/2019,Lollapalooza 2019 D1
Boy Pablo,2019-08-02,Lollapalooza 2019 D2
Japanese Breakfast,2019-08-02,Lollapalooza 2019 D2
21 Savage,2019-08-02,Lollapalooza 2019 D2
Death Cab for Cutie,2019-08-02,Lollapalooza 2019 D2
Tame Impala,2019-08-02,Lollapalooza 2019 D2
Men I Trust,8/3/2019,Lollapalooza 2019 D3
ScaryPoolParty,8/3/2019,Lollapalooza 2019 D3
Gary Clark Jr,8/3/2019,Lollapalooza 2019 D3
Yaeji,8/3/2019,Lollapalooza 2019 D3
Tenacious D ,8/3/2019,Lollapalooza 2019 D3
RL Grime,8/3/2019,Lollapalooza 2019 D3
Joji,8/4/2019,Lollapalooza 2019 D4
Francis and the Lights,8/4/2019,Lollapalooza 2019 D4
Denzel Curry,8/4/2019,Lollapalooza 2019 D4
Sharon Van Etten,8/4/2019,Lollapalooza 2019 D4
Kacey Musgraves,8/4/2019,Lollapalooza 2019 D4
Mitski,8/4/2019,Lollapalooza 2019 D4
Flume,8/4/2019,Lollapalooza 2019 D4
Paper Mice,8/7/2019,Thalia Hall
Nick Reinhart,8/7/2019,Thalia Hall
Pinback,8/7/2019,Thalia Hall
Black Pistol Fire,8/17/2019,Gallagher Way
Ted Leo and the Pharmacists,8/18/2019,Gallagher Way
Antibalas,8/18/2019,Gallagher Way
Lola Kirke,9/21/2019,312 Block Party 2019 D1
Margo Price,9/21/2019,312 Block Party 2019 D1
Jenny Lewis,9/21/2019,312 Block Party 2019 D1
Negative Gemini,10/17/2019,Vic Theatre
Kero Kero Bonito,10/17/2019,Vic Theatre
Moon King,10/19/2019,Schubas
Mr. Twin Sister,10/19/2019,Schubas
Real Estate,10/22/2019,Lincoln Hall
The Killing Joke,11/3/2019,United Center
Tool,11/3/2019,United Center
Vagabon,11/14/2019,Riviera Theater
Angel Olsen,11/14/2019,Riviera Theater
Madison Cunningham,12/9/2019,Fourth Presbyterian Church
Andrew Bird,12/9/2019,Fourth Presbyterian Church
Vic Lloyd,1/4/2020,Metro
Boi Jeanius,1/4/2020,Metro
Flosstradamus,1/4/2020,Metro
Getter,2/1/2020,Navy Pier
Deadmau5,2/1/2020,Navy Pier
Graveyard,2/14/2020,Riviera Theater
Opeth,2/14/2020,Riviera Theater
